Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,bulgaria,bulgarian-cup,Montana - Levski,9,8,176,20,2076,5,2,43173,2,43171,0,5.93,5.51,1.33,0,1,0,2,0.6754019708971791,-0.30822842032349
soccer,hungary,hungarian-cup,Bacsa - Vecsesi,9,8,212,56,2309,5,2,0,0,50836,24,3.58,3.53,1.8,0,1,0,2,0.4149642025795745,-0.3163305441959574
basketball,europe,euroleague-women,USK Prague W - Polkowice W,7,6,196,40,2886,36,1,68231,0,69109,15,1.15,0.0,5.39,0,0,1,1,0.828183423599129,-0.31726041907334507
volleyball,poland,liga-siatkowki-women,Legionowo W - Rzeszow W,2,1,262,106,0,-1,2,0,0,0,0,4.37,0.0,1.19,0,0,0,2,0.7895519077322936,-0.31806963051879317
basketball,europe,euroleague-women,Fenerbahce W - Lattes Montpellier W,7,6,196,40,2886,36,1,69095,1,69105,11,1.15,0.0,5.35,0,0,1,1,0.8273134558413289,-0.3239301718831461
soccer,turkey,turkish-cup,Genclerbirligi - Tuzlaspor,9,8,292,136,2685,18,1,46393,154,63635,24,1.1,9.5,13.14,0,1,0,1,0.879528529950451,-0.32518617054503735
soccer,hungary,hungarian-cup,Dunaujvaros PASE - Vasas,9,8,212,56,2309,5,2,50771,16,50765,10,9.2,5.96,1.2,0,1,0,2,0.7780682928916645,-0.3315902426500134
basketball,japan,b-league,&nbsp;Niigata - Yokohama,7,6,223,67,2944,0,1,70276,18,54552,28,1.24,0.0,3.72,0,0,0,1,0.740975093711135,-0.3382953491591359
soccer,serbia,serbian-cup,Napredak - Radnicki Pirot,9,8,272,116,2567,2,1,59660,2,59703,15,1.17,6.03,12.0,0,1,0,1,0.8041515603905532,-0.34789808437089875
soccer,costa-rica,primera-division,Alajuelense - Guadalupe,9,8,184,28,2097,0,1,43848,4,0,0,1.44,4.1,6.17,0,0,0,1,0.5873122314040695,-0.3506145154048636
soccer,kazakhstan,premier-league,FC Astana - Okzhetpes,9,8,225,69,2391,0,1,46173,42,54828,10,1.08,8.68,16.71,0,0,0,1,0.8993388247541109,-0.3589258658195021
soccer,uzbekistan,professional-football-league,Lok. Tashkent - Kokand 1912,9,8,298,142,2713,0,1,64829,3,64836,10,1.13,6.73,13.53,0,0,0,1,0.8427081787206907,-0.3672289080432279
soccer,serbia,super-liga,FK Crvena zvezda - Sp. Subotica,9,8,272,116,2565,0,1,47015,13,59672,14,1.07,8.66,18.07,0,0,0,1,0.910090340884329,-0.3743333607681116
