Season,Participants,Best Odd,Your Bet,Winning Bet
2007,Queen of South - Linlithgow Rose,1.22,1,1
2007,St. Mirren - Dumbarton,1.16,1,1
2007,Ross County - Whitehill Welfare,1.23,1,1
2007,Threave Rovers - Raith,1.33,2,2
2006,Celtic - Dunfermline,1.21,1,1
2006,St Johnstone - Celtic,1.29,2,2
2006,Queen of South - Hibernian,1.4,2,2
2006,Hibernian - Gretna,1.45,1,1
2006,Berwick - Falkirk,1.31,2,2
2006,Celtic - Dumbarton,1.04,1,1
2006,St Johnstone - Ayr,1.36,1,0
2006,Stranraer - Hearts,1.21,2,2
2006,Annan - Morton,1.24,2,2
2006,Brechin - Preston Athletic,1.23,1,1
2006,Cowdenbeath - Edinburgh University,1.23,1,1
2006,Edinburgh City - Stirling,1.25,2,2
2006,East Stirlingshire - Stirling,1.3,2,2
2006,Preston Athletic - Stenhousemuir,1.4,2,1
2005,Hearts - Gretna,1.32,1,0
2005,Hearts - Partick,1.17,1,1
2005,St. Mirren - Spartans&nbsp;,1.14,1,1
2005,Alloa - Hamilton&nbsp;,1.48,2,2
2005,Spartans - St. Mirren,1.29,2,0
2005,Hamilton - Alloa,1.25,1,0
2005,Hearts - Aberdeen,1.46,1,1
2005,Inverness - Partick,1.34,1,0
2005,Rangers - Hibernian,1.38,1,2
2005,Hamilton - Queen of South&nbsp;,1.39,1,0
2005,Ayr - Inverness&nbsp;,1.5,2,2
2005,Livingston - Alloa&nbsp;,1.13,1,2
2005,Clyde - Celtic,1.1,2,1
2005,Alloa - Livingston,1.25,2,0
2005,Dunfermline - Airdrieonians,1.47,1,2
2005,Falkirk - Brechin,1.22,1,1
2005,Hearts - Kilmarnock,1.48,1,1
2005,Hibernian - Arbroath,1.09,1,1
2005,Inverness - Ayr,1.21,1,0
2005,Rangers - Peterhead,1.05,1,1
2005,Ross County - Forfar Athletic,1.34,1,1
2005,Gretna - Cove Rangers,1.09,1,1
2005,Stirling - Inverurie Loco Works,1.25,1,1
2005,Stenhousemuir - East Stirlingshire,1.13,1,1
2005,Hearts - Gretna,1.32,1,0
2005,Hearts - Partick,1.17,1,1
2005,St. Mirren - Spartans&nbsp;,1.14,1,1
2005,Alloa - Hamilton&nbsp;,1.48,2,2
2005,Spartans - St. Mirren,1.29,2,0
2005,Hamilton - Alloa,1.25,1,0
2005,Hearts - Aberdeen,1.46,1,1
2005,Inverness - Partick,1.34,1,0
2005,Rangers - Hibernian,1.38,1,2
2005,Hamilton - Queen of South&nbsp;,1.39,1,0
2005,Ayr - Inverness&nbsp;,1.5,2,2
2005,Livingston - Alloa&nbsp;,1.13,1,2
2005,Clyde - Celtic,1.1,2,1
2005,Alloa - Livingston,1.25,2,0
2005,Dunfermline - Airdrieonians,1.47,1,2
2005,Falkirk - Brechin,1.22,1,1
2005,Hearts - Kilmarnock,1.48,1,1
